pixel_x,pixel_y,x,y
601,165,43.50877192982456,38.11619718309859
471,165,32.10526315789474,38.11619718309859
582,164,41.8421052631579,38.20422535211267
550,160,39.03508771929825,38.556338028169016
488,160,33.59649122807017,38.556338028169016
615,158,44.73684210526316,38.732394366197184
576,154,41.31578947368421,39.08450704225352
567,158,40.526315789473685,38.732394366197184
515,157,35.96491228070175,38.820422535211264
434,154,28.859649122807017,39.08450704225352
647,152,47.54385964912281,39.26056338028169
608,150,44.122807017543856,39.436619718309856
591,151,42.63157894736842,39.348591549295776
440,149,29.385964912280706,39.524647887323944
622,143,45.35087719298246,40.05281690140845
525,143,36.84210526315789,40.05281690140845
479,140,32.80701754385965,40.316901408450704
649,137,47.719298245614034,40.58098591549296
615,137,44.73684210526316,40.58098591549296
581,140,41.75438596491228,40.316901408450704
570,131,40.78947368421053,41.109154929577464
496,131,34.29824561403509,41.109154929577464
420,131,27.631578947368425,41.109154929577464
519,128,36.31578947368421,41.37323943661972
638,126,46.75438596491228,41.54929577464789
505,126,35.08771929824561,41.54929577464789
442,123,29.561403508771928,41.813380281690144
672,120,49.73684210526316,42.07746478873239
598,131,43.24561403508772,41.109154929577464
596,120,43.07017543859649,42.07746478873239
587,122,42.280701754385966,41.901408450704224
564,120,40.26315789473684,42.07746478873239
554,123,39.3859649122807,41.813380281690144
649,114,47.719298245614034,42.605633802816904
437,112,29.122807017543863,42.78169014084507
672,109,49.73684210526316,43.04577464788732
629,113,45.96491228070175,42.693661971830984
557,112,39.64912280701755,42.78169014084507
545,109,38.59649122807017,43.04577464788732
505,109,35.08771929824561,43.04577464788732
614,109,44.64912280701754,43.04577464788732
661,98,48.771929824561404,44.014084507042256
627,97,45.78947368421053,44.102112676056336
584,97,42.01754385964912,44.102112676056336
559,97,39.824561403508774,44.102112676056336
632,92,46.228070175438596,44.54225352112676
576,98,41.31578947368421,44.014084507042256
547,92,38.771929824561404,44.54225352112676
584,86,42.01754385964912,45.070422535211264
570,83,40.78947368421053,45.33450704225352
